Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
05/11/2022,2022,PAOK,Giannina,1.33,5.0,9.5,2.0,0.0,H,3,1,7,5,0,0,60,20,0,4,3,11,0,1,60,20
05/11/2022,2022,OFI Crete,Ionikos,2.1,3.4,3.5,0.0,2.0,A,0,3,3,7,0,0,0,40,0,5,3,12,0,1,0,40
30/10/2022,2022,Olympiakos,Lamia,1.22,6.5,13.0,2.0,0.0,H,3,1,9,4,0,0,60,20,0,1,2,3,0,0,60,20
17/05/2022,2021,PAOK,Panathinaikos,2.2,3.25,3.4,2.0,0.0,H,1,2,4,5,0,0,53,24,2,0,4,1,0,0,53,24
17/05/2022,2021,Giannina,Aris,4.33,3.3,1.95,0.0,3.0,A,2,1,5,4,0,0,47,29,3,2,6,4,0,0,47,29
17/05/2022,2021,AEK,Olympiakos,2.25,3.3,3.3,2.0,3.0,A,2,2,6,4,1,0,53,12,2,2,5,5,0,0,53,12
15/05/2022,2021,Lamia,Atromitos,2.62,3.2,2.87,0.0,0.0,D,0,5,2,9,0,0,13,20,2,1,6,6,0,1,13,20
15/05/2022,2021,Ionikos,Panetolikos,2.1,3.25,3.8,3.0,1.0,H,2,1,12,5,2,0,33,33,2,2,4,5,0,0,33,33
14/05/2022,2021,Panathinaikos,Giannina,1.33,4.5,13.0,4.0,0.0,H,4,0,8,2,1,0,71,18,0,3,2,7,0,1,71,18
14/05/2022,2021,Olympiakos,PAOK,2.0,3.3,4.0,1.0,1.0,D,3,1,12,7,1,0,76,18,2,3,4,4,0,0,76,18
14/05/2022,2021,Aris,AEK,2.45,3.1,3.25,3.0,2.0,H,2,1,3,2,0,0,47,35,1,1,6,8,0,1,47,35
14/05/2022,2021,Volos NFC,OFI Crete,2.3,3.5,3.0,5.0,0.0,H,1,2,4,4,1,0,38,19,1,1,5,6,0,0,38,19
11/05/2022,2021,Olympiakos,Panathinaikos,1.95,3.2,4.33,1.0,2.0,A,4,0,13,5,1,0,81,19,1,1,2,1,0,0,81,19
11/05/2022,2021,AEK,Giannina,1.36,5.0,8.5,3.0,0.0,H,1,2,4,5,0,0,50,12,0,3,2,6,0,0,50,12
